Topic,Bloom’s Taxonomy,Difficulty,Question
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,"Here are five unique questions based on the topic of ""Unit I: Advanced C Concept of Pointers"" that align with Bloom’s Taxonomy level ""Remember"" and are of medium difficulty:"
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,"1. **Question:** What is a pointer in C programming, and how do you declare a pointer variable? Provide an example."
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,2. **Question:** Explain the difference between the address-of operator (&) and the indirection operator (*) in the context of pointers. Give a code snippet to illustrate your explanation.
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,3. **Question:** Describe how pointer arithmetic works in C. What are the results of adding or subtracting an integer value from a pointer? Provide an example to support your answer.
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,"4. **Question:** Define the terms ""call by value"" and ""call by reference"" in relation to function parameters and pointers. How does using pointers affect the ability to return multiple values from a function?"
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,"5. **Question:** What is meant by dynamic memory allocation in C? Describe the functions used for allocating and freeing memory, and provide an example of how to allocate memory for an array dynamically."
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Remember,Medium,"These questions focus on foundational knowledge of pointers while encouraging students to recall definitions, concepts, and examples relevant to the subject matter."
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Understand,Medium,"Here are five unique questions based on the topic of advanced C concepts of pointers, designed to assess understanding at Bloom’s Taxonomy level ""Understand"" with a medium difficulty level:"
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Understand,Medium,1. **Explain the significance of the (&) operator in the context of pointers. How does it differ from the indirection (or dereferencing) operator (*)? Provide examples to illustrate your explanation.**
"Unit I: Advanced C Concept of Pointers 

Introduction  -  Concept  of  memory  addresses,  use  of  the  (&)
operator.

Pointer Execution – Declaring and Initializing a pointer, Indirection
Operator and dereferencing a pointer.

Pointer   Arithmetic   –   Assignment,   Addition-subtraction   with integers, pointer comparison.

Use of Pointers – Returning more than one value from the function
(Call by value and call by References concept).

Pointers and Arrays – One dimensional Arrays and pointers, Difference between array name and pointers, passing one dimensional and two dimensional array to functions, Pointers for character array(strings), Array of pointers 2-D Array and pointer, pointer to function.

Dynamic memory allocation – Array allocation, Memory freeing, Memory reallocation.

Informative- void Pointers, Null pointers, Pointers to pointers, Memory  leak  and  Memory  corruption,  pointer  to  constant  and constant pointer.",Understand,Medium,"2. **Describe how pointer arithmetic functions in C. What operations can be performed on pointers, and how do these operations affect the memory addresses that the pointers refer to? Give examples to clarify your explanations.**"
